priority,family,category,skuKey,pnMtm,productName,spec,currentStock,sellableStock,searchKeyword,searchQueries,jdProductUrl,lenovoProductUrl,jdLenovoSelfUrl,lenovoShopSearchUrl,matchStatus,matchEvidence
P1 国补目录优先,非国补,平板电脑,20000225,QZQ1M78347,联想（Lenovo）小新平板支架,*,1,1,小新,小新,,,https://lenovo1.jd.com/?keyword=%E5%B0%8F%E6%96%B0,https://s.lenovo.com.cn/search/?key=%E5%B0%8F%E6%96%B0&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
P1 国补目录优先,平板,平板电脑,20002614,ZAEG0001CN,TB520FU TAB 12G+256GTE-CN,12G+256G,1,0,TAB,TAB / TAB 12G 256G,,,https://lenovo1.jd.com/?keyword=TAB,https://s.lenovo.com.cn/search/?key=TAB&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
P1 国补目录优先,平板,平板电脑,20006806,ZAH50004CN,TB376FC TAB 8G+256GLG-CN,小新Pro 13 8+256,1,1,TAB,TAB / TAB 8G,,,https://lenovo1.jd.com/?keyword=TAB,https://s.lenovo.com.cn/search/?key=TAB&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
P1 国补目录优先,平板,平板电脑,20003436,ZAGD0013CN,小新平板 12.1 卷云灰,TB365FC TAB 8G+128GLG-CN,1,0,小新,小新 / 小新 8G / 小新 8G 卷云灰,,,https://lenovo1.jd.com/?keyword=%E5%B0%8F%E6%96%B0,https://s.lenovo.com.cn/search/?key=%E5%B0%8F%E6%96%B0&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
P1 国补目录优先,平板,平板电脑,20003432,ZAG60169CN,小新平板 Pro GT 浅海贝,TB710FU TAB 8G+256GSH-CN,1,0,小新,小新 / 小新 8G,,,https://lenovo1.jd.com/?keyword=%E5%B0%8F%E6%96%B0,https://s.lenovo.com.cn/search/?key=%E5%B0%8F%E6%96%B0&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
P1 国补目录优先,平板,平板电脑,20002917,ZAFT0005CN,TB335FC TAB 8G+128GLG-CN,8G+128G,1,0,TAB,TAB / TAB 8G 128G,,,https://lenovo1.jd.com/?keyword=TAB,https://s.lenovo.com.cn/search/?key=TAB&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
P1 国补目录优先,电脑,轻薄笔记本,20002022,83JM0000CD,小新Pro 16 IAH10GRXULTRA5 32G 1TB11C集成显卡,灰 U5 32G 1T,1,0,小新,小新 / 小新 32G 1T,,https://item.lenovo.com.cn/product/1042858.html,https://lenovo1.jd.com/?keyword=%E5%B0%8F%E6%96%B0,https://s.lenovo.com.cn/search/?key=%E5%B0%8F%E6%96%B0&isProprietary=true&page=,已匹配详情页,联想商城 PN 搜索 83JM0000CD 返回详情页，商品编号精确命中；搜索页展示价 ￥7999。标题为小新Pro16GT，匹配 Ultra5/32G/1TB/集显 SKU。
P1 国补目录优先,电脑,轻薄笔记本,20006837,83S50004CD,小新Pro 14 IPH11GRXU532G1TB11C,U532G1T,1,1,小新,小新,,https://item.lenovo.com.cn/product/1052926.html,https://lenovo1.jd.com/?keyword=%E5%B0%8F%E6%96%B0,https://s.lenovo.com.cn/search/?key=%E5%B0%8F%E6%96%B0&isProprietary=true&page=,已匹配详情页,联想商城 PN 搜索 83S50004CD 返回详情页，商品编号精确命中；搜索页展示价 ￥9799。型号为小新Pro14 酷睿版，匹配 Ultra5/32G/1TB SKU 方向。
P1 国补目录优先,电脑,轻薄笔记本,20006831,83SK000BCD,小新Pro 16GT IPH11GRXU532G1TB11C,U532G1T,1,1,小新,小新,,,https://lenovo1.jd.com/?keyword=%E5%B0%8F%E6%96%B0,https://s.lenovo.com.cn/search/?key=%E5%B0%8F%E6%96%B0&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
P1 国补目录优先,电脑,轻薄笔记本,20001595,83J30005CD,小新Air 15 ARP10GRXR716G51211C集成显卡,灰 R7 16G 512G,1,0,小新,小新 / 小新 16G 512G,,https://item.lenovo.com.cn/product/1040447.html,https://lenovo1.jd.com/?keyword=%E5%B0%8F%E6%96%B0,https://s.lenovo.com.cn/search/?key=%E5%B0%8F%E6%96%B0&isProprietary=true&page=,已匹配详情页,详情页商品编号精确命中 83J30005CD；详情描述 AMD Ryzen 7 7735HS/15.3英寸/16G/512G SSD/集显/霜雪银，与小新Air 15 R7 16G 512G SKU 一致。
P1 国补目录优先,电脑,轻薄笔记本,20001669,83D20006CD,小新Pro 14 IMH9GRXULT532G1TB11C集成显卡,灰 U5 32G 1T,1,0,小新,小新 / 小新 32G 1T,,https://item.lenovo.com.cn/product/1034913.html,https://lenovo1.jd.com/?keyword=%E5%B0%8F%E6%96%B0,https://s.lenovo.com.cn/search/?key=%E5%B0%8F%E6%96%B0&isProprietary=true&page=,已匹配详情页,详情页商品编号精确命中 83D20006CD；详情描述 Ultra 5/14英寸/32GB/1T SSD/集成显卡/鸽子灰，与小新Pro14 Ultra5 32G 1T SKU 一致。
P1 国补目录优先,电脑,轻薄笔记本,20002032,83HX001LCD,小新Pro 14c AKP10GRXAIR732G1TB11C集成显卡,灰 R7 32G 1T,1,0,小新,小新 / 小新 32G 1T,,,https://lenovo1.jd.com/?keyword=%E5%B0%8F%E6%96%B0,https://s.lenovo.com.cn/search/?key=%E5%B0%8F%E6%96%B0&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
P1 国补目录优先,电脑,商务台式,20004217,90XS004CCD,天逸510S-08IRR I3141008G512W-11Q,I3141008G512W+23,1,1,天逸510S,天逸510S / 天逸510S I314100,,,https://lenovo1.jd.com/?keyword=%E5%A4%A9%E9%80%B8510S,https://s.lenovo.com.cn/search/?key=%E5%A4%A9%E9%80%B8510S&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
P1 国补目录优先,电脑,游戏笔记本,20003938,83NN005DCD,Legion Y7000P IRX10BKEI714700HX16G1TB11C,Legion Y7000P IRX10BKEI714700HX16G1TB11C RTX5060,1,0,Legion,Legion / Legion I714700HX RTX5060,,,https://lenovo1.jd.com/?keyword=Legion,https://s.lenovo.com.cn/search/?key=Legion&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
P1 国补目录优先,电脑,游戏笔记本,20003290,870041049,来酷(Lecoo)斗战者 战7000 2025,R9/16G/1T/5060,1,1,来酷,来酷 / 来酷 16G 1T,,,https://lenovo1.jd.com/?keyword=%E6%9D%A5%E9%85%B7,https://s.lenovo.com.cn/search/?key=%E6%9D%A5%E9%85%B7&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
P1 国补目录优先,电脑,游戏笔记本,20003662,870040682,斗战者N176 2R98945HX16G1T5060G80W-11,R98945HX16G1T5060,1,0,斗战者,斗战者 / 斗战者 R98945HX,,,https://lenovo1.jd.com/?keyword=%E6%96%97%E6%88%98%E8%80%85,https://s.lenovo.com.cn/search/?key=%E6%96%97%E6%88%98%E8%80%85&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
P1 国补目录优先,电脑,游戏主机,20004915,90X000J9CP,GeekPro-17IRR I51440024G1TG5B11Q (5060),I524G1T5060,1,1,GeekPro,GeekPro / GeekPro I514400,,,https://lenovo1.jd.com/?keyword=GeekPro,https://s.lenovo.com.cn/search/?key=GeekPro&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
P1 国补目录优先,电脑,游戏主机,20002841,90X000EPCP,GeekPro-17IRR I514400F16G1TG5B11Q (5060)RTX5060,i5 16G 1T,1,1,GeekPro,GeekPro / GeekPro I514400F 16G 1T RTX5060,,,https://lenovo1.jd.com/?keyword=GeekPro,https://s.lenovo.com.cn/search/?key=GeekPro&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
P2 配件/显示器批量,非国补,电脑配件,20004338,QXR1T50408,小新 蓝牙无线鼠标Plus - 月幕白,月幕白,9,9,小新,小新 / 小新 月幕白,,,https://lenovo1.jd.com/?keyword=%E5%B0%8F%E6%96%B0,https://s.lenovo.com.cn/search/?key=%E5%B0%8F%E6%96%B0&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
P2 配件/显示器批量,非国补,显示器,20004361,67CEKCC5CC,家用23.8英寸IPS云灰色液晶显示器L2435/TPV/A/R,23.8英寸,8,8,家用23.8英寸IPS云灰色液晶显示器L2435/TPV/A/R,家用23.8英寸IPS云灰色液晶显示器L2435/TPV/A/R / 家用23.8英寸IPS云灰色液晶显示器L2435/TPV/A/R 灰色,,,https://lenovo1.jd.com/?keyword=%E5%AE%B6%E7%94%A823.8%E8%8B%B1%E5%AF%B8IPS%E4%BA%91%E7%81%B0%E8%89%B2%E6%B6%B2%E6%99%B6%E6%98%BE%E7%A4%BA%E5%99%A8L2435/TPV/A/R,https://s.lenovo.com.cn/search/?key=%E5%AE%B6%E7%94%A823.8%E8%8B%B1%E5%AF%B8IPS%E4%BA%91%E7%81%B0%E8%89%B2%E6%B6%B2%E6%99%B6%E6%98%BE%E7%A4%BA%E5%99%A8L2435/TPV/A/R&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
P2 配件/显示器批量,非国补,电脑配件,20004215,QB41R68906,联想小新 X30 散热支架 灰色,灰色,7,7,小新,小新 / 小新 灰色,,,https://lenovo1.jd.com/?keyword=%E5%B0%8F%E6%96%B0,https://s.lenovo.com.cn/search/?key=%E5%B0%8F%E6%96%B0&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
P2 配件/显示器批量,非国补,电脑配件,20000276,QXR1M21509,联想（Lenovo）小新蓝牙轻音鼠标 深空灰,深空灰,4,4,小新,小新 / 小新 深空灰,,,https://lenovo1.jd.com/?keyword=%E5%B0%8F%E6%96%B0,https://s.lenovo.com.cn/search/?key=%E5%B0%8F%E6%96%B0&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
P2 配件/显示器批量,非国补,电脑配件,20000347,ZG38C05305,联想手写笔,*,4,4,联想手写笔,联想手写笔,,,https://lenovo1.jd.com/?keyword=%E8%81%94%E6%83%B3%E6%89%8B%E5%86%99%E7%AC%94,https://s.lenovo.com.cn/search/?key=%E8%81%94%E6%83%B3%E6%89%8B%E5%86%99%E7%AC%94&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
P2 配件/显示器批量,非国补,耳机音箱,20004532,QXD1T87884,联想AI智能主动降噪耳机 X600 曜石金,曜石金,4,4,联想AI智能主动降噪耳机 X600 曜石金,联想AI智能主动降噪耳机 X600 曜石金 / 联想AI智能主动降噪耳机 X600 曜石金 曜石金,,,https://lenovo1.jd.com/?keyword=%E8%81%94%E6%83%B3AI%E6%99%BA%E8%83%BD%E4%B8%BB%E5%8A%A8%E9%99%8D%E5%99%AA%E8%80%B3%E6%9C%BA%20X600%20%E6%9B%9C%E7%9F%B3%E9%87%91,https://s.lenovo.com.cn/search/?key=%E8%81%94%E6%83%B3AI%E6%99%BA%E8%83%BD%E4%B8%BB%E5%8A%A8%E9%99%8D%E5%99%AA%E8%80%B3%E6%9C%BA%20X600%20%E6%9B%9C%E7%9F%B3%E9%87%91&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
P2 配件/显示器批量,非国补,电脑配件,20003833,QXR1P49424,小新 K1S 轻音无线键鼠套装 68键盘+鼠标,暮霭灰,3,3,小新,小新,,,https://lenovo1.jd.com/?keyword=%E5%B0%8F%E6%96%B0,https://s.lenovo.com.cn/search/?key=%E5%B0%8F%E6%96%B0&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
P2 配件/显示器批量,非国补,电脑配件,20000779,QXF1N53162,小新折叠散热支架X2 Slim,*,3,3,小新,小新,,,https://lenovo1.jd.com/?keyword=%E5%B0%8F%E6%96%B0,https://s.lenovo.com.cn/search/?key=%E5%B0%8F%E6%96%B0&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
P2 配件/显示器批量,非国补,电脑配件,20003716,GX21K91000,联想（Lenovo）拯救者C140氮化镓适配器,黑色,3,3,拯救者,拯救者 / 拯救者 黑色,,,https://lenovo1.jd.com/?keyword=%E6%8B%AF%E6%95%91%E8%80%85,https://s.lenovo.com.cn/search/?key=%E6%8B%AF%E6%95%91%E8%80%85&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
P2 配件/显示器批量,非国补,电脑配件,20003717,GX21K91003,联想（Lenovo）拯救者C140氮化镓适配器,白色,3,3,拯救者,拯救者 / 拯救者 白色,,,https://lenovo1.jd.com/?keyword=%E6%8B%AF%E6%95%91%E8%80%85,https://s.lenovo.com.cn/search/?key=%E6%8B%AF%E6%95%91%E8%80%85&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
P2 配件/显示器批量,非国补,电脑配件,20003645,870044366,SSD火力强化-AM6C1 1T,SSD火力强化-AM6C1 1T,3,3,SSD火力强化-AM6C1 1T,SSD火力强化-AM6C1 1T / SSD火力强化-AM6C1 1T 1T,,,https://lenovo1.jd.com/?keyword=SSD%E7%81%AB%E5%8A%9B%E5%BC%BA%E5%8C%96-AM6C1%201T,https://s.lenovo.com.cn/search/?key=SSD%E7%81%AB%E5%8A%9B%E5%BC%BA%E5%8C%96-AM6C1%201T&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
P2 配件/显示器批量,非国补,电脑配件,20005628,870043241,联想极光鼠标GM11 Pro 三模版 白色,三模版 白色,3,3,联想极光鼠标GM11 Pro 三模版,联想极光鼠标GM11 Pro 三模版 / 联想极光鼠标GM11 Pro 三模版 白色,,,https://lenovo1.jd.com/?keyword=%E8%81%94%E6%83%B3%E6%9E%81%E5%85%89%E9%BC%A0%E6%A0%87GM11%20Pro%20%E4%B8%89%E6%A8%A1%E7%89%88,https://s.lenovo.com.cn/search/?key=%E8%81%94%E6%83%B3%E6%9E%81%E5%85%89%E9%BC%A0%E6%A0%87GM11%20Pro%20%E4%B8%89%E6%A8%A1%E7%89%88&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
P2 配件/显示器批量,非国补,电脑配件,20005624,870043237,联想极光键盘 GK10 Pro 三模版 83键 静音轴 白色,三模版 83键 静音轴 白色,3,3,联想极光键盘 GK10 Pro,联想极光键盘 GK10 Pro / 联想极光键盘 GK10 Pro 白色,,,https://lenovo1.jd.com/?keyword=%E8%81%94%E6%83%B3%E6%9E%81%E5%85%89%E9%94%AE%E7%9B%98%20GK10%20Pro,https://s.lenovo.com.cn/search/?key=%E8%81%94%E6%83%B3%E6%9E%81%E5%85%89%E9%94%AE%E7%9B%98%20GK10%20Pro&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
P2 配件/显示器批量,手机,智能生活,20003937,PB2C0014CN,PHN MOTO XT2427-4 CN GG 12+ 256 DS RTL NEW（S50 Neo 12+256即墨）,S50 Neo 12+256即墨,3,3,MOTO,MOTO,,,https://lenovo1.jd.com/?keyword=MOTO,https://s.lenovo.com.cn/search/?key=MOTO&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
P3 低库存,非国补,打印机,20003821,QZG1M36016,小新熊猫Panda Pro黑白激光智慧多功能一体打印机 西岭白/青城灰,青城灰,2,2,小新,小新 / 小新 黑,,,https://lenovo1.jd.com/?keyword=%E5%B0%8F%E6%96%B0,https://s.lenovo.com.cn/search/?key=%E5%B0%8F%E6%96%B0&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
P3 低库存,非国补,电脑配件,20000579,QXR1P42837,小新 K1 轻音无线键鼠套装 月慕白 84键盘+鼠标,*,2,2,小新,小新 / 小新 白,,,https://lenovo1.jd.com/?keyword=%E5%B0%8F%E6%96%B0,https://s.lenovo.com.cn/search/?key=%E5%B0%8F%E6%96%B0&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
P3 低库存,非国补,电脑配件,20005569,QXR1T50390,小新 蓝牙无线鼠标 Plus - 天青蓝,蓝色,2,2,小新,小新,,,https://lenovo1.jd.com/?keyword=%E5%B0%8F%E6%96%B0,https://s.lenovo.com.cn/search/?key=%E5%B0%8F%E6%96%B0&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
P3 低库存,非国补,电脑配件,20003788,QY41Q25835,联想 MK9 98键机械键盘 樱花白/曜石黑,曜石黑,2,2,联想 MK9 98键机械键盘,联想 MK9 98键机械键盘 / 联想 MK9 98键机械键盘 白,,,https://lenovo1.jd.com/?keyword=%E8%81%94%E6%83%B3%20MK9%2098%E9%94%AE%E6%9C%BA%E6%A2%B0%E9%94%AE%E7%9B%98,https://s.lenovo.com.cn/search/?key=%E8%81%94%E6%83%B3%20MK9%2098%E9%94%AE%E6%9C%BA%E6%A2%B0%E9%94%AE%E7%9B%98&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
P3 低库存,非国补,电脑配件,20003752,QXR1Q25362,联想小新 K5 客制化机械键盘,奶油薄荷,2,2,小新,小新,,,https://lenovo1.jd.com/?keyword=%E5%B0%8F%E6%96%B0,https://s.lenovo.com.cn/search/?key=%E5%B0%8F%E6%96%B0&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
